GEO_ID,VARIABLE,VARIABLE_NAME,DATE,VALUE,UNIT
country/USA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1982-01-01,3343789000000.00000000000,USD
country/USA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1960-01-01,543300000000.00000000000,USD
country/USA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1990-01-01,5963144000000.00000000000,USD
country/USA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1975-01-01,1684904000000.00000000000,USD
country/USA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1985-01-01,4338979000000.00000000000,USD
country/USA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1979-01-01,2627333000000.00000000000,USD
country/USA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1992-01-01,6520327000000.00000000000,USD
country/USA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2007-01-01,14474226905000.00000000000,USD
country/USA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1998-01-01,9062818202000.00000000000,USD
country/USA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1978-01-01,2351599000000.00000000000,USD
country/USA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2019-01-01,21380976119000.00000000000,USD
country/USA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2021-01-01,23315080560000.00000000000,USD
country/USA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1996-01-01,8073122000000.00000000000,USD
country/MUS,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2016-01-01,12594155346.29800000000,USD
country/MUS,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2007-01-01,8150150144.15635000000,USD
country/MUS,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1990-01-01,2653485952.13319000000,USD
country/MUS,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1984-01-01,1040554576.01413000000,USD
country/MUS,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2001-01-01,4613637222.14006000000,USD
country/DEU,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1994-01-01,2205074123177.05000000000,USD
country/DEU,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2018-01-01,3974443355019.53000000000,USD
country/ZWE,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1976-01-01,4318372000.00000000000,USD
country/ZWE,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2002-01-01,6342116400.00000000000,USD
country/ZWE,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2011-01-01,14101920300.00000000000,USD
country/ZWE,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2012-01-01,17114849900.00000000000,USD
country/KIR,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2004-01-01,102370615.24064000000,USD
country/KIR,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1995-01-01,56336670.91045000000,USD
country/KIR,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1972-01-01,18936526.94611000000,USD
country/KIR,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1971-01-01,15278632.47863000000,USD
country/FRA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1971-01-01,165966615366.40200000000,USD
country/FRA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2020-01-01,2639008701648.21000000000,USD
country/GRC,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2004-01-01,240963562236.12700000000,USD
country/GRC,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1993-01-01,108809059155.76700000000,USD
country/GRC,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1997-01-01,143157600149.75700000000,USD
country/GRC,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1979-01-01,54481876724.93100000000,USD
country/GRC,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2007-01-01,318902829550.73300000000,USD
country/GRC,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2016-01-01,193148146586.93800000000,USD
country/CAN,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2013-01-01,1846597421834.98000000000,USD
country/CAN,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1963-01-01,45029724490.38920000000,USD
country/CAN,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1980-01-01,274770252171.76200000000,USD
country/CAN,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1965-01-01,54515115736.00180000000,USD
country/EGY,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1968-01-01,5932242990.65421000000,USD
country/EGY,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2021-01-01,424671765455.70400000000,USD
country/EGY,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1988-01-01,34980124929.01760000000,USD
country/EGY,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,2020-01-01,383817841547.09900000000,USD
country/BRA,Amount_EconomicActivity_GrossDomesticProduction_Nominal,Nominal GDP,1997-01-01,883206452832.81100000000,USD
